entry_id,datetime,item_id,user_id
1,10/24/2020 11:30:00,79,1
2,10/24/2020 11:30:00,243,1
3,10/24/2020 11:30:00,541,1
4,10/24/2020 17:30:00,330,1
5,10/25/2020 10:30:00,363,1
6,10/25/2020 11:00:00,207,1
7,10/25/2020 13:20:00,174,1
8,10/25/2020 16:45:00,156,1
9,10/25/2020 16:45:00,446,1
10,10/25/2020 16:45:00,21,1
11,10/25/2020 16:45:00,89,1
12,10/26/2020 07:45:00,21,1
13,10/26/2020 09:10:00,527,1
14,10/26/2020 14:15:00,368,1
15,10/26/2020 14:15:00,190,1
16,10/26/2020 20:00:00,517,1
17,10/26/2020 20:00:00,90,1
18,10/26/2020 20:00:00,411,1
19,10/27/2020 08:00:00,516,1
20,10/27/2020 08:00:00,410,1
21,10/27/2020 10:20:00,112,1
22,10/27/2020 11:45:00,196,1
23,10/27/2020 11:45:00,112,1
24,10/27/2020 19:30:00,88,1
25,10/27/2020 20:00:00,93,1
26,10/27/2020 20:00:00,540,1
27,10/28/2020 10:00:00,527,1
28,10/28/2020 13:15:00,335,1
29,10/28/2020 19:45:00,51,1
30,10/28/2020 20:00:00,5,1
31,10/29/2020 09:00:00,65,1
32,10/29/2020 09:00:00,461,1
33,10/29/2020 12:00:00,51,1
34,10/29/2020 16:10:00,192,1
35,10/30/2020 08:45:00,34,1
36,10/30/2020 11:45:00,515,1
37,10/30/2020 13:10:00,296,1
38,10/30/2020 17:45:00,332,1
39,10/30/2020 17:45:00,144,1
40,10/31/2020 10:45:00,331,1
41,10/31/2020 14:00:00,366,1
42,10/31/2020 14:40:00,438,1
43,10/31/2020 14:40:00,104,1
44,10/31/2020 20:00:00,363,1
45,11/01/2020 12:15:00,445,1
46,11/01/2020 12:15:00,145,1
47,11/01/2020 17:00:00,116,1
48,11/01/2020 17:00:00,463,1
49,11/02/2020 07:40:00,462,1
50,11/02/2020 11:50:00,444,1
51,11/02/2020 14:20:00,381,1
52,11/02/2020 17:15:00,174,1
53,11/03/2020 10:20:00,434,1
54,11/03/2020 10:20:00,427,1
55,11/03/2020 14:00:00,90,1
56,11/03/2020 14:00:00,100,1
57,11/03/2020 18:40:00,464,1
58,11/04/2020 10:15:00,147,1
59,11/04/2020 13:30:00,332,1
60,11/04/2020 17:00:00,332,1
61,11/05/2020 09:45:00,196,1
62,11/05/2020 10:30:00,296,1
63,11/05/2020 13:00:00,57,1
64,11/05/2020 13:00:00,20,1
